Aldoa
Cacna1h
Coq2
Coq3
Coq4
Coq5
Coq6
Coq7
Coq8a
Coq8b
Coq9
Cyp11b1
Cyp11b2
Cyp17a1
Cyp19a1
Fdx2
Fdxr
Hsd17b1
Hsd17b3
Inhba
Ndufa9
Pdss1
Pdss2
Rtn4ip1
Scp2
Sirt6
Srd5a2
Star
Stard3
Tpi1
Ubiad1
Vkorc1
