Abcb1a
Agap2
Alad
Amigo1
Arl6ip5
Ass1
Atp7a
Baiap2
Bcl2l1
Capn2
Casp3
Castor1
Castor2
Ccl2
Cdh1
Cdo1
Cebpb
Cfl1
Cln8
Col16a1
Col1a1
Col1a2
Col3a1
Col4a1
Col4a6
Col5a2
Col6a1
Cpeb1
Cpeb3
Cpeb4
Cps1
Creb1
Crls1
Cul3
Cyba
Cybb
Dnmt1
Dnmt3a
Dnmt3b
Edn1
Egfr
Eif2s1
Ep300
F7
Fut1
Fyn
Gclc
Gclm
Gdf10
Gfap
Ghsr
Glra1
Glra2
Glra3
Glra4
Gmps
Gprc6a
Gria1
Gria2
Grin1
Grin2a
Grin2d
Grin3b
Grm1
Gstp1
Hcn1
Hmgcs2
Hnf1a
Hnrnpd
Hpca
Hsf1
Igf1r
Ipo5
Kcnb1
Kcnc2
Kcnj10
Klhl22
Lamtor1
Lamtor2
Lamtor3
Lamtor4
Lamtor5
Lars1
Lcn2
Lmnb1
Lyn
Mat2a
Meak7
Mir101a
Mir101b
Mir103-1
Mir103-2
Mir107
Mir122
Mir1224
Mir130a
Mir134
Mir137
Mir145a
Mir150
Mir151
Mir154
Mir155
Mir15a
Mir15b
Mir183
Mir1894
Mir1897
Mir191
Mir192
Mir193a
Mir194-1
Mir194-2
Mir1948
Mir1983
Mir199a-1
Mir199a-2
Mir200b
Mir200c
Mir203
Mir214
Mir216b
Mir217
Mir22
Mir221
Mir222
Mir224
Mir23a
Mir24-2
Mir27a
Mir29c
Mir301
Mir3072
Mir30a
Mir30d
Mir30e
Mir31
Mir342
Mir346
Mir34a
Mir351
Mir365-1
Mir365-2
Mir369
Mir376a
Mir376b
Mir376c
Mir377
Mir378a
Mir379
Mir382
Mir409
Mir421
Mir425
Mir429
Mir451a
Mir455
Mir466f-1
Mir466f-2
Mir466f-3
Mir466f-4
Mir466g
Mir466h
Mir466i
Mir466j
Mir486
Mir487b
Mir495
Mir496a
Mir539
Mir543
Mir544
Mir654
Mir666
Mir667
Mir669c
Mir669f
Mir674
Mir676
Mir708
Mir714
Mir762
Mir802
Mir872
Mir92-1
Mir92-2
Mir92b
Mir99a
Mirlet7a-1
Mirlet7a-2
Mirlet7d
Mirlet7f-1
Mirlet7f-2
Mirlet7i
Mmp2
Mmp3
Mtor
Myd88
Neurl1a
Nfe2l2
Nprl2
Nqo1
Nsmf
Ntrk2
Ntsr1
Pck1
Pcna
Pdgfc
Pdgfd
Pdgfra
Pdx1
Pik3c3
Pik3ca
Ppp1r9b
Prkcd
Prkn
Prmt1
Psen1
Rbx1
Rela
Rptor
Rraga
Rragb
Rragc
Rragd
Samtor
Sesn1
Sesn2
Sesn3
Sh3bp4
Six1
Slc16a2
Slc1a1
Slc1a2
Slc1a3
Slc1a4
Slc1a5
Slc1a6
Slc22a2
Slc22a4
Slc36a1
Slc38a1
Slc38a2
Slc38a3
Slc38a4
Slc38a5
Slc38a9
Slc3a2
Slc47a1
Slc6a13
Slc6a14
Slc6a20a
Slc6a20b
Slc6a5
Slc6a6
Slc6a7
Slc6a9
Slc7a1
Slc7a11
Slc7a2
Slc7a3
Slc7a5
Slc7a8
Slco1b2
Socs1
Spaar
Sst
Stambpl1
Tmbim6
Tnf
Tomm20
Tomm70a
Tspo2
Tuba1a
Ubr1
Ubr2
Ufl1
Xbp1
Zeb1
