Acod1
Actr3
Adamts12
Adamts7
Akap12
Ankrd1
App
Bmi1
Cactin
Camp
Ccl2
Ccl5
Cd47
Cebpb
Cfl1
Chi3l1
Cited1
Cxcl2
Cyba
Dab2ip
Edn1
Ep300
Epo
Fgb
Fn1
Gclc
Gm7324
Has2
Hdac4
Hes1
Hif1a
Hnmt
Hyal1
Hyal2
Hyal3
Ikbip
Il17a
Il1b
Il1r1
Il6
Inhbb
Irak1
Irak2
Irak3
Irf1
Klf2
Kmo
Lcn2
Map2k7
Mapk11
Mapk13
Mmp2
Myd88
Mylk3
Nfkb1
Nkx3-1
Nr1d1
Pck1
Prkca
Prkci
Ptgis
Pycard
Rbmx
Rbmxl1
Rc3h1
Rela
Ripk2
Rora
Saa3
Sele
Serpine1
Sfrp1
Sirpa
Slc30a8
Smpd1
Snca
Sox9
Src
Taf9
Tank
Tle5
Tnfrsf11a
Traf6
Upf1
Usp10
Ythdc2
Yy1
Zc3h12a
