Adrb1
Adrb2
Agtr1a
Akap5
Fyn
Grm6
Kcnn4
Ms4a1
P2rx1
P2rx5
Ppp3ca
Ppp3cb
Ppp3cc
Ppp3r1
Ppp3r2
Prnp
