Adora1
Adora2a
Adora2b
Adora3
Cbl
Cblb
Cblc
Gnrh1
Gsg1l
Hip1
Itsn1
Lif
Mturn
Nedd4
Neurl1a
Nrg1
Osm
Plk3
Rptor
